placeID,latitude,longitude,the_geom_meter,name,address,city,state,country,fax,zip,alcohol,smoking_area,dress_code,accessibility,price,url,Rambience,franchise,area,other_services,Rcuisine,parking_lot,hours,days,Rpayment
132937,22.1500193,-100.9799203,0101000020957F0000F9F19DDC3B4858C191B265A83BA44B41,rockabilly ,agustin de iturbide,san luis potosi,san luis potosi,mexico,?,62000,Full_Bar,section,informal,completely,low,?,quiet,FALSE,closed,variety,Pizzeria,none,21:00-02:00;,Sat;,cash
132937,22.1500193,-100.9799203,0101000020957F0000F9F19DDC3B4858C191B265A83BA44B41,rockabilly ,agustin de iturbide,san luis potosi,san luis potosi,mexico,?,62170,Full_Bar,section,informal,completely,low,?,quiet,FALSE,closed,variety,Regional,none,21:00-02:00;,Mon;Tue;Wed;Thu;Fri;,cash
132847,22.1443365,-100.9373825,0101000020957F00004717A23D474A58C17D1F102970984B41,don burguers,r.b. anaya esq. florencia,slp,slp,mexico,?,62250,No_Alcohol_Served,none,informal,no_accessibility,low,?,familiar,FALSE,open,none,Dutch-Belgian,none,20:00-01:30;,Mon;Tue;Wed;Thu;Fri;,cash
132847,22.1443365,-100.9373825,0101000020957F00004717A23D474A58C17D1F102970984B41,don burguers,r.b. anaya esq. florencia,slp,slp,mexico,?,62290,No_Alcohol_Served,none,informal,no_accessibility,low,?,familiar,FALSE,open,none,Diner,none,20:00-01:30;,Sun;,cash
132847,22.1443365,-100.9373825,0101000020957F00004717A23D474A58C17D1F102970984B41,don burguers,r.b. anaya esq. florencia,slp,slp,mexico,?,62320,No_Alcohol_Served,none,informal,no_accessibility,low,?,familiar,FALSE,open,none,Dessert-Ice_Cream,none,20:00-01:30;,Sat;,cash
132845,22.1262926,-100.9007764,0101000020957F0000B230F8670C4E58C1D590A2700F8F4B41,Cenaduria El Rincón de Tlaquepaque,av. seminario,san luis potosi,san luis potosi,mexico,?,62460,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,FALSE,closed,none,Sushi,none,19:30-23:30;,Sat;,cash
132845,22.1262926,-100.9007764,0101000020957F0000B230F8670C4E58C1D590A2700F8F4B41,Cenaduria El Rincón de Tlaquepaque,av. seminario,san luis potosi,san luis potosi,Mexico,?,62790,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,FALSE,closed,none,Thai,none,19:30-23:30;,Sun;,cash
132845,22.1262926,-100.9007764,0101000020957F0000B230F8670C4E58C1D590A2700F8F4B41,Cenaduria El Rincón de Tlaquepaque,av. seminario,san luis potosi,san luis potosi,mexico,?,64000,No_Alcohol_Served,none,informal,no_accessibility,medium,?,familiar,FALSE,closed,none,Turkish,none,19:30-23:30;,Mon;Tue;Wed;Thu;Fri;,cash
132922,22.1511348,-100.9823115,0101000020957F000060A98A38FF4758C146718E41D9A44B41,cafe punta del cielo,1a. de Lozada 1,Cd Victoria,mexico,mexico,?,74000,No_Alcohol_Served,permitted,formal,completely,medium,?,familiar,FALSE,closed,none,Irish,none,19:00-23:00;,Sat;,cash
132922,22.1511348,-100.9823115,0101000020957F000060A98A38FF4758C146718E41D9A44B41,cafe punta del cielo,20 de Noviembre 1817 Tlaxcala,Cd. Victoria,Morelos,Mexico,?,78000,No_Alcohol_Served,permitted,formal,completely,medium,?,familiar,FALSE,closed,none,Cafeteria,none,19:00-23:00;,Sun;,cash
