placeID,Rcuisine
135059,Bar
135057,Bar
135069,Bar
132861,Burgers
135044,Chinese
135042,Chinese
135035,Italian
132626,Italian
135106,Mexican
132715,Mexican
132706,Mexican
135055,Mexican
135028,Mexican
132754,Mexican
132723,Mexican
132608,Mexican
135104,Mexican
135027,Mexican
132584,Mexican
132613,Mexican
132732,Mexican
132825,Mexican
132740,Mexican
132594,Mexican
135054,Seafood
135039,Seafood
135060,Seafood
135075,Seafood
132667,Armenian
135034,Japanese
132869,Pizzeria
132733,Pizzeria
132560,Regional
132572,Cafeteria
132609,Fast_Food
132717,Fast_Food
135074,Contemporary
132854,International
132955,Bar_Pub_Brewery
132866,Bakery
132866,Cafeteria
132870,Swiss
132870,Tapas
132870,Tea_House
132872,Mexican
132872,Lebanese
132872,Malaysian
132872,Mediterranean
132872,Latin_American
132872,Middle_Eastern
132875,Soup
132875,Thai
132875,Sushi
132875,Steaks
132875,Seafood
132875,Spanish
132875,Turkish
132875,Japanese
132875,Southern
132875,Vegetarian
132875,Vietnamese
132875,Southwestern
132885,Basque
132885,Brazilian
132885,Breakfast-Brunch
132921,Persian
132921,Mongolian
132921,Organic-Healthy
132922,Irish
132922,Cafeteria
132925,Kosher
132925,Lebanese
132925,Latin_American
134975,Basque
134975,British
134975,Burgers
134975,Burmese
134975,Canadian
134975,Brazilian
134975,Cafeteria
134975,Cambodian
134975,California
134975,Cajun-Creole
134975,Breakfast-Brunch
134975,Cafe-Coffee_Shop
134976,Juice
134976,Korean
134976,Kosher
134976,Mexican
134976,Jamaican
134976,Japanese
134976,Lebanese
134976,Malaysian
134976,Mongolian
134976,Mediterranean
134976,Latin_American
134976,Middle_Eastern
134983,Bar
134983,Vegetarian
134983,Vietnamese
134983,Bar_Pub_Brewery
132937,Polish
132937,Pizzeria
132937,Regional
134987,Eclectic
134987,Ethiopian
134987,Eastern_European
134992,Cuban
134992,Chilean
134992,Chinese
134992,Dim_Sum
134992,Caribbean
134992,Contemporary
134992,Deli-Sandwiches
134992,Dessert-Ice_Cream
134992,Continental-European
134996,Game
134996,Greek
134996,German
132951,Israeli
132951,Italian
132951,Jamaican
135000,Southern
135000,Southwestern
135000,Southeast_Asian
135001,Bar
135001,Asian
135001,Afghan
135001,Bagels
135001,Bakery
135001,African
135001,American
135001,Armenian
135001,Austrian
135001,Barbecue
135001,Australian
135001,Bar_Pub_Brewery
132954,Thai
132954,Tex-Mex
132954,Tibetan
132954,Turkish
132954,Tunisian
132954,Vegetarian
132954,Vietnamese
132954,Breakfast-Brunch
132958,Greek
132958,German
132958,Chinese
132958,Hawaiian
132958,Hot_Dogs
132958,Caribbean
132958,Hungarian
132958,California
132958,Indigenous
132958,Indonesian
132958,Contemporary
132958,International
132958,Deli-Sandwiches
132958,Indian-Pakistani
132958,Continental-European
135011,Moroccan
135011,North_African
135011,Organic-Healthy
135013,Irish
135013,Israeli
135013,Italian
135016,Thai
135016,Tex-Mex
135016,Tibetan
135018,Mexican
135018,Turkish
135018,Tunisian
135018,Vegetarian
135018,Vietnamese
135021,Diner
135021,Doughnuts
135021,Dutch-Belgian
135025,Irish
135025,Juice
135025,Korean
135025,Polish
135025,Japanese
135025,Pizzeria
135025,Hungarian
135025,Indigenous
135025,Indonesian
135025,Polynesian
135025,International
135025,Indian-Pakistani
135030,Cafeteria
135030,Cafe-Coffee_Shop
135032,Soup
135032,Sushi
135032,Swiss
135032,Tapas
135032,Steaks
135032,Seafood
135032,Spanish
135032,Tex-Mex
135032,Rcuisine
135032,Regional
135032,Romanian
135032,Southern
135032,Tea_House
135032,Portuguese
135032,Scandinavian
