placeID,alcohol,smoking_area,dress_code
135052,Full_Bar,none,informal
135071,Full_Bar,section,informal
134975,Full_Bar,section,informal
132723,Full_Bar,section,informal
132937,Full_Bar,section,informal
134983,Full_Bar,section,informal
135018,Full_Bar,permitted,informal
135104,Full_Bar,not permitted,informal
135050,Wine-Beer,none,informal
132955,Wine-Beer,none,informal
135045,Wine-Beer,none,casual
132862,Wine-Beer,none,casual
132854,Wine-Beer,none,informal
135001,Wine-Beer,none,informal
135076,Wine-Beer,none,informal
132766,Wine-Beer,none,informal
134987,Wine-Beer,none,informal
135027,Wine-Beer,none,informal
135041,Wine-Beer,none,informal
135069,Wine-Beer,none,informal
135028,Wine-Beer,none,informal
135040,Wine-Beer,none,informal
132856,Wine-Beer,none,informal
135048,Wine-Beer,none,informal
135074,Wine-Beer,section,informal
135059,Wine-Beer,section,informal
135065,Wine-Beer,section,informal
135047,Wine-Beer,section,informal
132921,Wine-Beer,section,casual
135066,Wine-Beer,section,informal
135073,Wine-Beer,section,informal
132875,Wine-Beer,section,informal
134992,Wine-Beer,section,casual
135057,Wine-Beer,section,informal
135032,Wine-Beer,section,informal
132773,Wine-Beer,permitted,informal
132767,Wine-Beer,permitted,casual
134996,Wine-Beer,only at bar,informal
135106,Wine-Beer,only at bar,informal
132925,Wine-Beer,not permitted,informal
135109,Wine-Beer,not permitted,informal
132754,No_Alcohol_Served,none,informal
134976,No_Alcohol_Served,none,informal
132858,No_Alcohol_Served,none,informal
135060,No_Alcohol_Served,none,informal
135049,No_Alcohol_Served,none,informal
135079,No_Alcohol_Served,none,informal
135013,No_Alcohol_Served,none,informal
135044,No_Alcohol_Served,none,informal
132755,No_Alcohol_Served,none,informal
132715,No_Alcohol_Served,none,informal
135043,No_Alcohol_Served,none,informal
135058,No_Alcohol_Served,none,informal
132626,No_Alcohol_Served,none,informal
135034,No_Alcohol_Served,none,informal
135081,No_Alcohol_Served,none,informal
132667,No_Alcohol_Served,none,informal
135064,No_Alcohol_Served,none,informal
135046,No_Alcohol_Served,none,informal
135054,No_Alcohol_Served,none,informal
132885,No_Alcohol_Served,none,informal
132825,No_Alcohol_Served,none,informal
135000,No_Alcohol_Served,none,informal
135025,No_Alcohol_Served,none,informal
135063,No_Alcohol_Served,none,informal
135072,No_Alcohol_Served,none,informal
132847,No_Alcohol_Served,none,informal
135042,No_Alcohol_Served,none,informal
132958,No_Alcohol_Served,none,informal
135082,No_Alcohol_Served,none,informal
135030,No_Alcohol_Served,none,informal
135070,No_Alcohol_Served,none,informal
135016,No_Alcohol_Served,none,informal
135011,No_Alcohol_Served,none,informal
135075,No_Alcohol_Served,none,informal
132732,No_Alcohol_Served,none,casual
135062,No_Alcohol_Served,none,informal
132845,No_Alcohol_Served,none,informal
135080,No_Alcohol_Served,section,informal
135033,No_Alcohol_Served,section,informal
135055,No_Alcohol_Served,section,informal
135039,No_Alcohol_Served,section,informal
135053,No_Alcohol_Served,section,informal
135035,No_Alcohol_Served,section,informal
135038,No_Alcohol_Served,section,informal
135051,No_Alcohol_Served,section,informal
132740,No_Alcohol_Served,permitted,informal
132613,No_Alcohol_Served,permitted,informal
132560,No_Alcohol_Served,permitted,informal
132608,No_Alcohol_Served,permitted,informal
132922,No_Alcohol_Served,permitted,formal
132846,No_Alcohol_Served,permitted,casual
132733,No_Alcohol_Served,not permitted,informal
132861,No_Alcohol_Served,not permitted,informal
132572,No_Alcohol_Served,not permitted,informal
132706,No_Alcohol_Served,not permitted,informal
135085,No_Alcohol_Served,not permitted,informal
132866,No_Alcohol_Served,not permitted,informal
132609,No_Alcohol_Served,not permitted,informal
132583,No_Alcohol_Served,not permitted,informal
135021,No_Alcohol_Served,not permitted,informal
132594,No_Alcohol_Served,not permitted,informal
132872,No_Alcohol_Served,not permitted,informal
132870,No_Alcohol_Served,not permitted,informal
132768,No_Alcohol_Served,not permitted,casual
132584,No_Alcohol_Served,not permitted,informal
132951,No_Alcohol_Served,not permitted,casual
132954,No_Alcohol_Served,not permitted,informal
132869,No_Alcohol_Served,not permitted,informal
132851,No_Alcohol_Served,not permitted,informal
135088,No_Alcohol_Served,not permitted,informal
132717,No_Alcohol_Served,not permitted,informal
135086,No_Alcohol_Served,not permitted,informal
132834,No_Alcohol_Served,not permitted,casual
